ID,Type,Lat,Lng,Time,Place
ID_9cld35x1p,Trash,41.1250514,24.8640279,"2/19/2026, 4:36:40 PM",HOSPITAL
ID_9z9wh1mn4,Trash,41.1250514,24.8640279,"2/19/2026, 4:36:41 PM",HOSPITAL
ID_3f2hoh3jj,Trash,41.1250514,24.8640279,"2/19/2026, 4:36:41 PM",HOSPITAL
ID_rc7dtrbvi,Recycle,41.1250514,24.8640279,"2/19/2026, 4:36:42 PM",HOSPITAL
ID_3zocztmq7,Trash,41.1266098,24.8637739,"2/19/2026, 4:45:03 PM",HOSPITAL
ID_vnl3fs8y6,Trash,41.1266098,24.8637739,"2/19/2026, 4:45:03 PM",HOSPITAL
ID_kn3buys0y,Trash,41.1275358,24.8655213,"2/19/2026, 4:45:56 PM",HOSPITAL
ID_qrcgseb4u,Recycle,41.1275983,24.8654297,"2/19/2026, 4:45:58 PM",HOSPITAL
ID_0im18jb4o,Trash,41.130411,24.8721951,"2/19/2026, 4:55:51 PM",EKTENEPOL
ID_i1lshsep7,Trash,41.1278049,24.8743701,"2/19/2026, 4:57:30 PM",EKTENEPOL
ID_u7xi6r3bq,Trash,41.1278049,24.8743701,"2/19/2026, 4:57:30 PM",EKTENEPOL
ID_t0inamzv2,Trash,41.1264414,24.8768313,"2/19/2026, 5:02:12 PM",EKTENEPOL
ID_lottvpi44,Trash,41.1264414,24.8768313,"2/19/2026, 5:02:13 PM",EKTENEPOL
ID_orf0vze8l,Trash,41.1264414,24.8768313,"2/19/2026, 5:02:13 PM",EKTENEPOL
ID_i2c4i9g9w,Recycle,41.1263549,24.8768667,"2/19/2026, 5:02:16 PM",EKTENEPOL
ID_nd8z3zwxg,Recycle,41.1254268,24.8772191,"2/19/2026, 5:02:35 PM",EKTENEPOL
ID_8uot1zboi,Underground,41.1253131,24.8772601,"2/19/2026, 5:02:40 PM",EKTENEPOL
ID_0i54tt3vl,Underground,41.1253131,24.8772601,"2/19/2026, 5:02:41 PM",EKTENEPOL
ID_h13f7wbex,Trash,41.1249242,24.8775501,"2/19/2026, 5:02:55 PM",EKTENEPOL
ID_uo2nrtp9k,Trash,41.1244805,24.8781421,"2/19/2026, 5:03:11 PM",EKTENEPOL
ID_d40dqxe7i,Trash,41.124205,24.8784526,"2/19/2026, 5:03:24 PM",EKTENEPOL
ID_qhd2wlrkx,Recycle,41.1241372,24.8785343,"2/19/2026, 5:03:26 PM",EKTENEPOL
ID_bsf56u3ng,Recycle,41.1241372,24.8785343,"2/19/2026, 5:03:26 PM",EKTENEPOL
ID_ncys1o5ep,Recycle,41.1241372,24.8785343,"2/19/2026, 5:03:26 PM",EKTENEPOL
ID_y80dw4p9r,Trash,41.1265018,24.8789184,"2/19/2026, 5:04:09 PM",EKTENEPOL
ID_x0nzdlbxn,Recycle,41.1258731,24.8780449,"2/19/2026, 5:04:23 PM",EKTENEPOL
ID_8xz37hk7n,Trash,41.1258731,24.8780449,"2/19/2026, 5:04:23 PM",EKTENEPOL
ID_xpa99sbrj,Trash,41.1258731,24.8780449,"2/19/2026, 5:04:24 PM",EKTENEPOL
ID_adkwdlm15,Organic,41.1267647,24.877715,"2/19/2026, 5:04:50 PM",EKTENEPOL
ID_xir0838rg,Trash,41.1267647,24.877715,"2/19/2026, 5:04:51 PM",EKTENEPOL
ID_bi9wguh9n,Trash,41.1244418,24.8736029,"2/19/2026, 5:07:56 PM",EKTENEPOL
ID_wmcagqanz,Organic,41.1244418,24.8736029,"2/19/2026, 5:07:57 PM",EKTENEPOL
ID_5vr7fsxru,Recycle,41.1244418,24.8736029,"2/19/2026, 5:08:02 PM",EKTENEPOL
ID_c28kjxp2d,Recycle,41.1244418,24.8736029,"2/19/2026, 5:08:03 PM",EKTENEPOL
ID_klr7io5sd,Organic,41.12402,24.8741163,"2/19/2026, 5:08:21 PM",EKTENEPOL
ID_y38o9fw8t,Organic,41.12402,24.8741163,"2/19/2026, 5:08:21 PM",EKTENEPOL
ID_hh5ntuoxg,Recycle,41.12402,24.8741163,"2/19/2026, 5:08:22 PM",EKTENEPOL
ID_ahz4y4bfy,Recycle,41.12402,24.8741163,"2/19/2026, 5:08:22 PM",EKTENEPOL
ID_7x25e6jky,Trash,41.1228841,24.8755313,"2/19/2026, 5:08:58 PM",EKTENEPOL
ID_2p44mykl5,Trash,41.1228841,24.8755313,"2/19/2026, 5:08:59 PM",EKTENEPOL
ID_gcmqxpmm7,Trash,41.1228841,24.8755313,"2/19/2026, 5:08:59 PM",EKTENEPOL
ID_hum53nx6t,Recycle,41.1228841,24.8755313,"2/19/2026, 5:09:00 PM",EKTENEPOL
ID_ku3jqdvzj,Recycle,41.1228841,24.8755313,"2/19/2026, 5:09:00 PM",EKTENEPOL
ID_egeses6sf,Recycle,41.1223446,24.8762026,"2/19/2026, 5:09:21 PM",EKTENEPOL
ID_lea6vwyg6,Trash,41.1223446,24.8762026,"2/19/2026, 5:09:21 PM",EKTENEPOL
ID_b118jo2k6,Trash,41.1223446,24.8762026,"2/19/2026, 5:09:22 PM",EKTENEPOL
ID_38uyfvp7w,Trash,41.1229909,24.8774441,"2/19/2026, 5:09:37 PM",EKTENEPOL
ID_tyfckxzhh,Trash,41.1229909,24.8774441,"2/19/2026, 5:09:38 PM",EKTENEPOL
ID_sq79jamq5,Recycle,41.1239091,24.875014,"2/19/2026, 5:10:23 PM",EKTENEPOL
ID_rmou4hy74,Trash,41.1239667,24.8751021,"2/19/2026, 5:10:26 PM",EKTENEPOL
ID_53d3wv6m6,Recycle,41.124342,24.8760646,"2/19/2026, 5:11:50 PM",EKTENEPOL
ID_f3gu0fcvf,Underground,41.1244075,24.8761496,"2/19/2026, 5:11:54 PM",EKTENEPOL
ID_qpom80ogm,Underground,41.1244075,24.8761496,"2/19/2026, 5:11:55 PM",EKTENEPOL
ID_wi763e2bs,Trash,41.1250395,24.875136,"2/19/2026, 5:12:53 PM",EKTENEPOL
ID_r6hrt6p52,Trash,41.1250395,24.875136,"2/19/2026, 5:12:53 PM",EKTENEPOL
ID_svjoxro24,Recycle,41.1250395,24.875136,"2/19/2026, 5:12:54 PM",EKTENEPOL
ID_pdt6vrysr,Trash,41.1256406,24.8749123,"2/19/2026, 5:13:10 PM",EKTENEPOL
ID_exzaodu9r,Trash,41.1260529,24.875579,"2/19/2026, 5:13:21 PM",EKTENEPOL
ID_ool3v7lz9,Trash,41.1260529,24.875579,"2/19/2026, 5:13:21 PM",EKTENEPOL
ID_avi61ionj,Trash,41.1252815,24.8766113,"2/19/2026, 5:14:02 PM",EKTENEPOL
ID_622zp8nw3,Trash,41.1252815,24.8766113,"2/19/2026, 5:14:03 PM",EKTENEPOL
ID_ncqrallle,Recycle,41.1252815,24.8766113,"2/19/2026, 5:14:04 PM",EKTENEPOL
ID_ytv1avy51,Trash,41.1239596,24.8716808,"2/19/2026, 5:15:27 PM",EKTENEPOL
ID_7w44gvv7f,Recycle,41.1229362,24.8718757,"2/19/2026, 5:15:50 PM",EKTENEPOL
ID_q0a6ondy9,Recycle,41.1229362,24.8718757,"2/19/2026, 5:15:51 PM",EKTENEPOL
ID_orl5amiib,Trash,41.1228694,24.8719581,"2/19/2026, 5:15:54 PM",EKTENEPOL
ID_wcsb1p5ce,Trash,41.1228694,24.8719581,"2/19/2026, 5:15:55 PM",EKTENEPOL
ID_norwznrcx,Trash,41.1212101,24.8740303,"2/19/2026, 5:21:22 PM",EKTENEPOL
ID_9cjftvng8,Trash,41.1213625,24.8751764,"2/19/2026, 5:21:53 PM",EKTENEPOL
